sigma_mhz,adam_fidelity_raw,adam_fidelity_ewma,adam_variance_raw,adam_variance_ewma,nominal_fidelity_raw,nominal_fidelity_ewma,nominal_variance_raw,nominal_variance_ewma,noise_fidelity_raw,noise_fidelity_ewma,noise_variance_raw,noise_variance_ewma
0.1,0.9856627593805996,0.9856627593805996,1.7282938537564257e-06,1.7282938537564257e-06,0.995049095082678,0.995049095082678,1.172927207109294e-06,1.172927207109294e-06,0.9986827176040952,0.9986827176040952,1.7872324433687378e-07,1.7872324433687378e-07
0.101,0.9854062851385268,0.9855319575171423,1.6380600100868713e-06,1.6826129703987137e-06,0.9949541115523868,0.9950006534822294,9.008777055437532e-07,1.0352021469417389e-06,0.9987365975507329,0.9987101963768804,1.449842919212733e-07,1.6164289967647605e-07
0.102,0.9853145562469638,0.9854565728079391,9.63405291584515e-07,1.4368590210887842e-06,0.994809748380516,0.9949344564192303,7.930418482625733e-07,9.524557420860541e-07,0.9987082798290686,0.9987095318067087,1.5676764647495173e-07,1.599770210110315e-07
0.103,0.9854340019648375,0.9854505871124007,1.9264502672607115e-06,1.5638845158634557e-06,0.9950589823471166,0.9949674801874431,1.0761274458915874e-06,9.845426298487651e-07,0.9986956200409406,0.9987058424631643,2.031932384263172e-07,1.711895609459034e-07
0.104,0.9852245579932264,0.9854016939909244,1.9113702699124638e-06,1.6368994049264799e-06,0.9948353967668307,0.994938908777031,1.235112558354244e-06,1.037193235864047e-06,0.9987222508811832,0.9987093918234341,1.7856363445029019e-07,1.7273902636309413e-07
0.105,0.98540352059062,0.985402029662252,1.5369724665900115e-06,1.6191868853378218e-06,0.9948930847321082,0.9949304877650071,7.078686300388791e-07,9.788189012870755e-07,0.9986692949083782,0.9987020232769781,1.501863453888809e-07,1.6874145763755734e-07
0.106,0.9853058246864296,0.9853865830730852,1.7059613038320728e-06,1.6325320725739056e-06,0.9948340890636156,0.9949150100714275,9.46933190305877e-07,9.739151428916455e-07,0.998714057914372,0.9987039555481314,1.37402549909479e-07,1.6392179305595875e-07
0.107,0.9856029961369024,0.9854175700977961,2.351498327384741e-06,1.7304605312350657e-06,0.9948703490933892,0.994908615305762,1.4552181923135343e-06,1.0394721359541405e-06,0.998744059357192,0.9987096977972381,1.2780882703379128e-07,1.5900294314253107e-07
0.108,0.985389123965388,0.9854138806380567,1.445278132496885e-06,1.6955137299646154e-06,0.9949832362542268,0.994918293633245,9.648628008306795e-07,1.0303293641035052e-06,0.9987240003726532,0.9987115528394422,1.317269609140566e-07,1.556604916637147e-07
0.109,0.9857469839503642,0.985453499238315,1.6403579813901929e-06,1.6893572529298173e-06,0.995132532002824,0.9949437746897544,1.3072688288216816e-06,1.0612413088895722e-06,0.9986501119527172,0.9987042451909117,1.7110381428669244e-07,1.5738427320102904e-07
0.11,0.9853468730416286,0.9854417537231959,1.332673327678186e-06,1.6527283391484864e-06,0.9948974931058076,0.9949386764956812,8.565517493993569e-07,1.040221140343383e-06,0.9986690034585268,0.9987003631027063,1.6529144336176778e-07,1.5819628359333278e-07
0.111,0.9852819845049816,0.9854253199990161,2.819457664120241e-06,1.763873670842416e-06,0.9946769869857154,0.9949117593380734,1.2328823112275952e-06,1.0585744887028962e-06,0.998720963924236,0.9987024820854656,2.085885842787244e-07,1.6299677060829115e-07
0.112,0.985292012470484,0.9854124285573038,2.0828437768429136e-06,1.7922564971507467e-06,0.9949162417672656,0.9949121928092756,1.2380443784565955e-06,1.0745442069072929e-06,0.9986560781803876,0.9986979946176975,2.216012701836649e-07,1.6821155814180338e-07
0.113,0.985518565444674,0.9854221344920184,2.1742017408279254e-06,1.8241899755540809e-06,0.9949377332529632,0.9949145284145977,1.3556562279846137e-06,1.0980472739112575e-06,0.9986633746503664,0.9986948287142018,1.5377737545885696e-07,1.6700475253653386e-07
0.114,0.9851683981540164,0.98540008277914,1.6414157367903546e-06,1.8097589051510572e-06,0.9946900928242984,0.9948950231705481,9.935892728795494e-07,1.0897997179250096e-06,0.9986984124950754,0.9986951401733625,1.5119720719137784e-07,1.6575665651754384e-07
0.115,0.985490896448788,0.9854076159381867,2.2043195544050137e-06,1.8393082467020528e-06,0.9948665993003244,0.9948926653588228,1.486891794411181e-06,1.1195386425173898e-06,0.9986737949032656,0.9986933695443904,1.8711969887906134e-07,1.6735657236445476e-07
0.116,0.9854812415880556,0.9854134673994516,2.4840079026640344e-06,1.8852829882559339e-06,0.994859369099324,0.994890019110225,1.5919444967393844e-06,1.1532267899447203e-06,0.9987189697424874,0.9986954041419499,1.4712281350658708e-07,1.6591366507335969e-07
0.117,0.9853672719811444,0.985409938070581,2.087558682348631e-06,1.8990651173650366e-06,0.9948815525390629,0.9948893722643877,1.389050968525397e-06,1.1692947574324877e-06,0.998702001934578,0.9986959082131514,1.8067921222991706e-07,1.6691972108118118e-07
0.118,0.9851999365475468,0.9853944691596411,2.347700390478941e-06,1.9283603451559558e-06,0.9947173743915076,0.9948767027382862,1.7757048604525774e-06,1.2088924510765582e-06,0.9986511814795372,0.9986926135996224,1.381677354245261e-07,1.6504225843004655e-07
0.119,0.9852169835459558,0.9853818307351768,2.3819071943333816e-06,1.956820600935547e-06,0.9949935495805236,0.9948850231872446,1.539572107470144e-06,1.2296427387681986e-06,0.998589348569246,0.9986852602865334,1.874674568989442e-07,1.6644944907747458e-07
0.12,0.985438198737714,0.9853857201645959,2.051008061564843e-06,1.9625142103148815e-06,0.994796548280698,0.9948789183602348,1.2869768198237607e-06,1.2331085702013049e-06,0.9986121880236012,0.9986802182521101,1.3044738705512517e-07,1.6427313307281448e-07
0.121,0.9852564313518724,0.9853770571779296,1.832243426202635e-06,1.954911242667578e-06,0.994737973611076,0.99486947436847,1.2054630071701517e-06,1.2314950977504423e-06,0.99857667013151,0.9986732800184825,2.220021641673005e-07,1.6764236093700973e-07
0.122,0.9852698547111728,0.9853700683006766,1.92567482177782e-06,1.953260505982172e-06,0.9948829669136864,0.994870353991348,1.3537436957516236e-06,1.2383974558133859e-06,0.9985145859536412,0.9986629342365849,2.202928144899475e-07,1.706150926373377e-07
0.123,0.9853924156279148,0.9853714883072637,2.4267896927591788e-06,1.9791734841736185e-06,0.994853459236144,0.9948692804551965,2.3151154866697766e-06,1.2973187887133108e-06,0.9985976535203256,0.9986587861321556,1.857323436996652e-07,1.7144235526027964e-07
0.124,0.985389141630158,0.9853725834044539,2.0413550337451343e-06,1.9824770389720148e-06,0.9947979001716604,0.9948648524872493,1.4427127878179576e-06,1.3050432189777535e-06,0.9987411958550844,0.9986638982946966,2.403443833191872e-07,1.7510295276841091e-07
0.125,0.9850534107529256,0.9853532257116643,2.7726188785787365e-06,2.023294658444566e-06,0.9946024470624264,0.9948489377039001,2.05142267267706e-06,1.3436001349593105e-06,0.998587882689731,0.9986592879788656,2.2139758036507755e-07,1.7749446831428397e-07
0.126,0.985277294077614,0.9853487171252754,2.116454091498537e-06,2.0279807725621936e-06,0.9946246527806126,0.9948356203564591,1.5831235229494112e-06,1.3556486618037369e-06,0.9985494957289393,0.9986527688534729,2.723077591269932e-07,1.8226377493252758e-07
0.127,0.9850665064796572,0.9853322914880581,3.777030884213251e-06,2.113764659343139e-06,0.9945267635325076,0.9948176438193546,1.9661233219129265e-06,1.3855899932593625e-06,0.9985883614462566,0.9986490201192508,2.6929399575096214e-07,1.8653225789906864e-07
0.128,0.9856321239778488,0.9853494175910121,2.5235281625058624e-06,2.1333840903264807e-06,0.9949478087426048,0.994825078697003,2.001900923280012e-06,1.4150988920814653e-06,0.9985754131496752,0.9986448157698824,1.867389160504689e-07,1.865421526683862e-07
0.129,0.9851804927988576,0.9853399384984154,2.217578203300517e-06,2.137323935867171e-06,0.9947523808980492,0.9948209993125677,2.032114177497959e-06,1.4439719906262029e-06,0.9985225619272432,0.9986379555838796,2.021462195685296e-07,1.8727234164742e-07
0.13,0.9851933114676888,0.9853318473574626,2.4116262277826774e-06,2.1498822707944714e-06,0.9947207434679548,0.9948154670163323,1.5304273082043486e-06,1.447930159647725e-06,0.9986085885831546,0.9986363350604262,1.8705343973049917e-07,1.8726231969838808e-07
0.131,0.985239338602702,0.9853268227823079,3.038713781330991e-06,2.1897349404330906e-06,0.994664708139428,0.9948072786096327,1.237601618480521e-06,1.4384996278007501e-06,0.9985962647073116,0.998634158655596,2.612783520532428e-07,1.9058098746661204e-07
0.132,0.9853740707315568,0.9853293508640696,3.1132056955894546e-06,2.2303230553725915e-06,0.9948316542934642,0.9948085828719911,1.862018917177614e-06,1.457114023005299e-06,0.9985792285631272,0.9986312195277152,2.464720963988084e-07,1.930374970428704e-07
0.133,0.9855658723961022,0.985341828038852,2.3148818220270665e-06,2.233969328910448e-06,0.995011151847994,0.9948192689541305,1.889588227100112e-06,1.4757628196775601e-06,0.9984499101737876,0.9986216549503204,3.721836668584304e-07,2.0076249072774753e-07
0.134,0.9851443721264468,0.9853315508092704,2.7014188626976253e-06,2.2537615361670766e-06,0.994568751319464,0.9948062299561369,1.3511618979241303e-06,1.4704871116289697e-06,0.998446321703121,0.9986125291661755,2.967903718837489e-07,2.0482839215427409e-07
0.135,0.9855993115360672,0.9853453107052024,2.217967601853064e-06,2.252272275502349e-06,0.9947831546255408,0.9948050441431486,1.3274752257074491e-06,1.4645368862521504e-06,0.9985089682387812,0.9986072072969058,3.005139786824888e-07,2.088095354102163e-07
0.136,0.9851914321007164,0.9853374981747427,2.5782532766782136e-06,2.2656096041607923e-06,0.9945767408677476,0.9947934530171497,1.8461673462135528e-06,1.4801510811046663e-06,0.998546314643185,0.9986041157318792,2.816490162836055e-07,2.117897216548578e-07
0.137,0.985229502032277,0.9853320777639175,3.380442374497761e-06,2.3104941915357004e-06,0.9947613580418984,0.9947918421452491,1.8554445942987848e-06,1.495260875983683e-06,0.9985573417538162,0.998601768109351,2.484277613323727e-07,2.1326481580073017e-07
0.138,0.9851005136803016,0.9853205815535245,3.201589485453999e-06,2.3458207909434205e-06,0.9945116999725973,0.9947779342312649,2.5366711740071062e-06,1.5365465663789024e-06,0.9984808979189124,0.9985957673983692,3.723924300493012e-07,2.195732740785728e-07
0.139,0.9852346713893626,0.9853163604916062,2.5306680434732445e-06,2.353040918937255e-06,0.9947141011413684,0.994774797891956,2.1330032815497524e-06,1.5598441473133044e-06,0.9984310202315532,0.9985876728032907,3.4487912121141973e-07,2.2446771661040868e-07
0.14,0.9854408258158004,0.9853224158456649,2.4405568226651706e-06,2.3564108659840887e-06,0.9947588598566368,0.994774022491679,1.5084856833184616e-06,1.5578665032886543e-06,0.99846802104919,0.9985818516339048,2.942146899632671e-07,2.271534411114871e-07
0.141,0.9854976139079552,0.9853308597246537,4.448577449340342e-06,2.435875429961497e-06,0.9947259940882806,0.9947717077056534,2.3233942875419607e-06,1.5869427403685396e-06,0.9983157986324108,0.9985690288930603,4.3778639813072134e-07,2.3515369129326502e-07
0.142,0.9853519775589068,0.9853318684647987,3.6861939878640336e-06,2.482742079904225e-06,0.9948195904771198,0.9947739949323288,1.99670760494811e-06,1.6023022712222574e-06,0.9984123572287598,0.99856154512387,6.119629769805606e-07,2.4927792289477035e-07
0.143,0.9850816550682874,0.985320017808739,3.81104717116705e-06,2.531903071394e-06,0.9944960505836652,0.9947608308774634,2.1346265718996733e-06,1.6220037619321393e-06,0.9984635938996482,0.998556905938738,3.6233229936145153e-07,2.534621011200277e-07
0.144,0.9853595725195302,0.9853218760683939,2.477562184453419e-06,2.5299163720498163e-06,0.9946016491412304,0.9947533526026308,1.4621942621361848e-06,1.6161611368607798e-06,0.9985195732478775,0.998555152068419,4.23031872813417e-07,2.596615611064832e-07
